id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
53;6;6;1;1;1;6;6;2;2;6;6;6;1;1;1;6;6;6;5;4;2;1;1;4;6;5;4;1;NA;3;0;23;1;0;NA;NA;Челябинск;1195446;149960;73950;56907;45603;53379;9;2019
54;1;2;6;1;2;2;6;6;6;6;6;6;6;6;6;1;1;1;6;6;6;1;1;1;6;6;6;NA;1;2;0;20;1;1;NA;NA;Челябинск;1195446;158012;46341;32262;22582;14671;9;2019
55;4;5;1;3;3;2;5;4;1;3;4;6;6;6;1;2;1;6;5;4;1;1;1;5;5;4;3;NA;1;2;0;20;1;0;NA;NA;Брянск;404793;231237;137001;177931;142655;72397;10;2019
56;5;4;2;5;2;1;6;5;1;2;5;5;5;3;2;2;3;5;2;1;3;4;4;5;5;4;2;1;NA;3;0;31;2;1;NA;NA;Истра;33535;88455;64980;67763;98362;43092;10;2019
57;6;6;2;3;3;2;5;6;1;3;3;4;5;5;1;1;1;6;5;5;2;3;3;4;3;3;1;NA;1;2;1;29;2;1;NA;NA;Орёл;311625;150077;65993;95743;69952;129511;10;2019
58;6;6;1;6;6;2;6;6;1;1;1;6;6;6;1;1;1;6;1;1;6;1;1;4;6;6;1;0;0;1;0;22;1;1;NA;NA;Екатеринбург;1483119;102937;106921;151710;78969;72270;10;2019
59;5;5;1;4;2;3;6;6;1;5;2;6;6;6;4;1;1;6;6;5;2;2;2;5;4;5;2;1;NA;3;0;31;4;1;NA;NA;NA;NA;94038;105441;65458;71948;59786;10;2019
60;6;5;2;2;2;4;6;5;1;5;6;6;5;5;4;1;1;6;6;6;2;3;2;5;4;4;1;0;0;1;0;22;5;1;NA;NA;Москва;12692466;60629;43971;64264;54312;66022;10;2019
61;6;6;2;6;5;1;6;6;3;1;1;4;3;4;4;1;1;5;5;5;1;4;5;4;5;5;3;1;NA;3;0;18;1;1;NA;NA;Минск;2018281;76370;100538;88474;69763;31275;10;2019
62;6;3;2;5;6;2;5;4;1;6;6;6;1;1;1;4;1;1;1;1;1;5;4;3;5;5;4;1;NA;3;1;28;3;1;NA;NA;Ульяновск;627870;96392;120141;417616;110656;110203;10;2019
63;4;4;2;5;2;5;5;3;2;5;5;5;5;5;2;2;4;6;4;4;1;5;5;3;5;2;3;NA;1;2;1;21;3;1;NA;NA;NA;NA;60048;123977;80757;175284;27687;10;2019
64;6;6;2;4;4;1;6;6;1;5;5;6;1;1;5;1;1;4;5;5;1;3;5;6;4;5;5;1;NA;3;0;18;2;0;NA;NA;Минск;2018281;44414;49062;59383;33711;3003919;10;2019
65;6;6;3;4;4;4;6;5;1;2;4;6;6;6;3;1;2;5;6;5;2;4;4;3;6;2;3;1;NA;3;0;34;1;0;NA;NA;Екатеринбург;1483119;130104;198620;109433;130583;72586;10;2019
